RBD/COD JUNJI;DV;Establecimiento;Comuna;Dirección;LAT;LONG;Primer Día de Recuperación;Días de Recuperación ;Observación;;
8518;9;LICEO ESTACIÓN CENTRAL;ESTACIÓN CENTRAL;Purísima #58;-33,45660624;-70,69843202;07/12/2026;6;;;37 establecimientos que solicitan 6 días de recuperación y primer dia de recuperación 07/12/2026
8519;7;ESCUELA BÁSICA PEDRO AGUIRRE CERDA;CERRILLOS;Avenida Buzeta #4479;-33,48183896;-70,69316402;09/12/2026;7;;;7 establecimientos que solicitan 7 días de recuperación y primer día de recuperación 09/12/2026
8521;9;ESCUELA CARLOS CONDELL DE LA HAZA;ESTACIÓN CENTRAL;Transit #661;-33,46146352;-70,70038386;07/12/2026;6;;;1 epja
8537;5;ESCUELA ARNALDO FALABELLA;ESTACIÓN CENTRAL;Calle Coronel Godoy #555;-33,45858943;-70,69222383;07/12/2026;6;;;4 SIN JEC que solicitan 6 días de recuperación y primer día de recuperación el 21/12/2026
8544;8;ESCUELA BÁSICA ARTURO ALESSANDRI PALMA;ESTACIÓN CENTRAL;Av Libertador Bernardo O´higgins #4558;-33,45601648;-70,69874984;07/12/2026;6;;;
8556;1;ESCUELA REPÚBLICA DE AUSTRIA;ESTACIÓN CENTRAL;Teniente Luis Cruz Martínez #4431;-33,47529212;-70,6949904;07/12/2026;6;;;
8558;8;ESCUELA BÁSICA VÍCTOR JARA;ESTACIÓN CENTRAL;Pinguinos #4250;-33,47151519;-70,69187992;07/12/2026;6;;;
8579;0;ESCUELA BÁSICA UNIÓN LATINOAMERICANA;ESTACIÓN CENTRAL;Santa Teresa #1071;-33,46348143;-70,6917367;07/12/2026;6;;;
8587;1;LICEO DE ADULTOS LUIS GÓMEZ CATALÁN;ESTACIÓN CENTRAL;Av Libertador Bernardo O´higgins #4552;-33,455536;-70,69752;23/11/2026;6;EPJA;;
9861;2;CENTRO EDUC.MUNIC. DR. AMADOR NEGHME RODRÍGUEZ;ESTACIÓN CENTRAL;Av 5 de Abril #4710;-33,47219812;-70,72080896;07/12/2026;6;;;
9862;0;LICEO BICENTENARIO POLIVALENTE A N°71 GUILLERMO FELIÚ CRUZ;ESTACIÓN CENTRAL;Av 5 de Abril #4800;-33,46382007;-70,70144017;07/12/2026;6;;;
9863;9;LICEO SANTIAGO BUERAS Y AVARIA;MAIPÚ;Capellan Benavides #2321;-33,50527427;-70,75174176;07/12/2026;6;;;
9864;7;LICEO JOSÉ IGNACIO ZENTENO;MAIPÚ;Av de la Victoria #2400;-33,50340173;-70,76915488;09/12/2026;7;;;
9865;5;LICEO POLIVALENTE DR. LUIS VARGAS SALCEDO;CERRILLOS;Vargas Salcedo #1720;-33,49895872;-70,73097771;07/12/2026;6;;;
9867;1;CENTRO DE EDUC. TECN.PROFESIONAL CODEDUC;MAIPÚ;Segunda Transversal #1900;-33,50955924;-70,74725518;07/12/2026;6;;;
9869;8;ESCUELA BÁSICA REPÚBLICA DE FRANCIA;ESTACIÓN CENTRAL;Laitec #5850;-33,47615979;-70,7108756;07/12/2026;6;;;
9870;1;ESCUELA BÁSICA CÓNDORES DE PLATA;CERRILLOS;Salomón Sack #925;-33,49381185;-70,71815383;07/12/2026;6;;;
9872;8;ESCUELA BASICA PROF.RAMÓN DEL RÍO;ESTACIÓN CENTRAL;Calle Chacao #1036;-33,46603649;-70,70288555;07/12/2026;6;;;
9873;6;ESCUELA BÁSICA PACTO ANDINO;ESTACIÓN CENTRAL;Las Lilas #5810;-33,463514;-70,70920911;07/12/2026;6;;;
9874;4;ESCUELA LOTHAR KOMMER BRUGER;CERRILLOS;Avenida Las Torres #539;-33,50690488;-70,73412556;07/12/2026;6;;;
9875;2;ESCUELA CERRILLOS;CERRILLOS;Los Cerrillos #570;-33,49396474;-70,71027254;07/12/2026;6;;;
9876;0;ESCUELA GENERAL SAN MARTÍN;MAIPÚ;Av 5 de Abril #409;-33,51040561;-70,76221241;07/12/2026;6;;;
9877;9;ESCUELA GENERAL OHIGGINS;MAIPÚ;Emiliano Llona #1853;-33,50971551;-70,76308151;07/12/2026;6;;;
9878;7;ESCUELA PRESIDENTE RIESCO ERRÁZURIZ;MAIPÚ;Pasaje San Ramón #101;-33,52620997;-70,75909153;07/12/2026;6;;;
9879;5;ESCUELA BÁSICA CAROLINA VERGARA AYARES;ESTACIÓN CENTRAL;Coyhaique #6055;-33,47338406;-70,70515939;07/12/2026;6;;;
9880;9;ESCUELA BÁSICA ESTADO DE PALESTINA;ESTACIÓN CENTRAL;Coyhaique #6215;-33,47358256;-70,70160736;09/12/2026;7;;;
9881;7;ESCUELA VICENTE REYES PALAZUELOS;MAIPÚ;Elizabeth Heisse #500;-33,51707669;-70,75083578;07/12/2026;6;;;
